2026-09-15 08:42:50 | NOT_FOUND  | TMDB_NO_MA | Na ratunek 112 16 (odc. 30)              | Na ratunek 112                           | P:-   B:-   L:-   M:-  
2026-09-15 08:42:53 | NOT_FOUND  | CACHE_NEGA | Na ratunek 112 12 (odc. 55)              | Na ratunek 112                           | P:-   B:-   L:-   M:-  
2026-09-15 08:42:53 | NOT_FOUND  | CACHE_NEGA | Na ratunek 112 12 (odc. 55)              | Na ratunek 112                           | P:-   B:-   L:-   M:-  
2026-09-15 08:42:54 | NOT_FOUND  | TMDB_NO_MA | Wszystko, co chcielibyście wiedzieć 2 (o | Wszystko, co chcielibyście wiedzieć      | P:-   B:-   L:-   M:-  
2026-09-15 08:43:00 | NOT_FOUND  | TMDB_NO_MA | Trudne sprawy II: odc.1363               | Trudne sprawy II                         | P:-   B:-   L:-   M:-  
2026-09-15 08:43:00 | NOT_FOUND  | TMDB_NO_MA | Bogaty dom - biedny dom 14 (odc. 3)      | Bogaty dom - biedny dom                  | P:-   B:-   L:-   M:-  
2026-09-15 08:43:02 | NOT_FOUND  | TMDB_NO_MA | Zaklinaczka duchów 5: odc.91             | Zaklinaczka duchów                       | P:-   B:-   L:-   M:-  
2026-09-15 08:43:04 | NOT_FOUND  | TMDB_NO_MA | Masza i Niedźwiedź 9: odc.17             | Masza i Niedźwiedź                       | P:-   B:-   L:-   M:-  
2026-09-15 08:43:05 | NOT_FOUND  | TMDB_NO_MA | Na sygnale: Pułapka ewolucji             | Na sygnale: Pułapka ewolucji             | P:-   B:-   L:-   M:-  
2026-09-15 08:43:06 | NOT_FOUND  | ELCIN_NO_M | Na sygnale: Nie ma takiej opcji          | Na sygnale: Nie ma takiej opcji          | P:-   B:-   L:-   M:-  
2026-09-15 08:43:07 | NOT_FOUND  | TMDB_NO_MA | Kościół z bliska                         | Kościół z bliska                         | P:-   B:-   L:-   M:-  
2026-09-15 08:43:07 | NOT_FOUND  | TMDB_NO_MA | Serwis Info                              | Serwis Info                              | P:-   B:-   L:-   M:-  
2026-09-15 08:43:07 | NOT_FOUND  | TMDB_NO_MA | Pogoda Info                              | Pogoda Info                              | P:-   B:-   L:-   M:-  
2026-09-15 08:43:07 | NOT_FOUND  | CACHE_NEGA | Kościół z bliska                         | Kościół z bliska                         | P:-   B:-   L:-   M:-  
2026-09-15 08:43:08 | NOT_FOUND  | ELCIN_NO_M | Wielkie przygody małego rekina 3: odc.5  | Wielkie przygody małego rekina           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:08 | NOT_FOUND  | TMDB_NO_MA | Pytanie na śniadanie - pobudka           | Pytanie na śniadanie - pobudka           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:08 | NOT_FOUND  | TMDB_NO_MA | Rosół polski: odc.38                     | Rosół polski                             | P:-   B:-   L:-   M:-  
2026-09-15 08:43:10 | NOT_FOUND  | TMDB_NO_MA | Gość poranka                             | Gość poranka                             | P:-   B:-   L:-   M:-  
2026-09-15 08:43:10 | NOT_FOUND  | TMDB_NO_MA | Agropogoda Info                          | Agropogoda Info                          | P:-   B:-   L:-   M:-  
2026-09-15 08:43:10 | NOT_FOUND  | TMDB_NO_MA | Kryminalna siódemka                      | Kryminalna siódemka                      | P:-   B:-   L:-   M:-  
2026-09-15 08:43:10 | NOT_FOUND  | TMDB_NO_MA | Wykrywacz kłamstw                        | Wykrywacz kłamstw                        | P:-   B:-   L:-   M:-  
2026-09-15 08:43:13 | NOT_FOUND  | TMDB_NO_MA | Detektywi: Bez przebaczenia              | Detektywi: Bez przebaczenia              | P:-   B:-   L:-   M:-  
2026-09-15 08:43:15 | NOT_FOUND  | TMDB_NO_MA | I nie opuszczę Cię aż do ślubu 7 (odc. 3 | I nie opuszczę Cię aż do ślubu           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:15 | NOT_FOUND  | TMDB_NO_MA | Kuchenne rewolucje: Kawice, Paradiso: od | Kuchenne rewolucje: Kawice, Paradiso     | P:-   B:-   L:-   M:-  
2026-09-15 08:43:15 | NOT_FOUND  | TMDB_NO_MA | Kuchenne rewolucje: Lublin, Zapiecek: od | Kuchenne rewolucje: Lublin, Zapiecek     | P:-   B:-   L:-   M:-  
2026-09-15 08:43:17 | NOT_FOUND  | TMDB_NO_MA | Raport Turbo                             | Raport Turbo                             | P:-   B:-   L:-   M:-  
2026-09-15 08:43:17 | NOT_FOUND  | TMDB_NO_MA | Shorty i jego bryki 2 (odc. 4)           | Shorty i jego bryki                      | P:-   B:-   L:-   M:-  
2026-09-15 08:43:17 | NOT_FOUND  | TMDB_NO_MA | Wyburzacze 8 (odc. 3)                    | Wyburzacze                               | P:-   B:-   L:-   M:-  
2026-09-15 08:43:19 | NOT_FOUND  | TMDB_NO_MA | C'est vous qui le dites                  | C'est vous qui le dites                  | P:-   B:-   L:-   M:-  
2026-09-15 08:43:23 | NOT_FOUND  | TMDB_NO_MA | Matin Première                           | Matin Première                           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:23 | NOT_FOUND  | TMDB_NO_MA | Les Belges du bout du monde              | Les Belges du bout du monde              | P:-   B:-   L:-   M:-  
2026-09-15 08:43:23 | NOT_FOUND  | TMDB_NO_MA | Jets privés: un privilège de milliardair | Jets privés: un privilège de milliardair | P:-   B:-   L:-   M:-  
2026-09-15 08:43:23 | NOT_FOUND  | TMDB_NO_MA | Le grand dossier - Le débat              | Le grand dossier - Le débat              | P:-   B:-   L:-   M:-  
2026-09-15 08:43:23 | NOT_FOUND  | CACHE_NEGA | Matin Première                           | Matin Première                           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:24 | NOT_FOUND  | TMDB_NO_MA | Le réveil de Tipik                       | Le réveil de Tipik                       | P:-   B:-   L:-   M:-  
2026-09-15 08:43:25 | NOT_FOUND  | TMDB_NO_MA | Shopping Hours                           | Shopping Hours                           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:26 | NOT_FOUND  | TMDB_NO_MA | bel RTL vision                           | bel RTL vision                           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:26 | NOT_FOUND  | CACHE_NEGA | bel RTL vision                           | bel RTL vision                           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:27 | NOT_FOUND  | CACHE_NEGA | Shopping Hours                           | Shopping Hours                           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:27 | NOT_FOUND  | CACHE_NEGA | Shopping Hours                           | Shopping Hours                           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:27 | NOT_FOUND  | CACHE_NEGA | Shopping Hours                           | Shopping Hours                           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:30 | NOT_FOUND  | TMDB_NO_MA | Programme non communiqué                 | Programme non communiqué                 | P:-   B:-   L:-   M:-  
2026-09-15 08:43:35 | NOT_FOUND  | TMDB_NO_MA | Mattino Cinque News                      | Mattino Cinque News                      | P:-   B:-   L:-   M:-  
2026-09-15 08:43:35 | NOT_FOUND  | TMDB_NO_MA | Traffico                                 | Traffico                                 | P:-   B:-   L:-   M:-  
2026-09-15 08:43:38 | NOT_FOUND  | TMDB_NO_MA | Rai Parlamento Telegiornale              | Rai Parlamento Telegiornale              | P:-   B:-   L:-   M:-  
2026-09-15 08:43:38 | NOT_FOUND  | TMDB_NO_MA | UnoMattina                               | UnoMattina                               | P:-   B:-   L:-   M:-  
2026-09-15 08:43:39 | NOT_FOUND  | TMDB_NO_MA | Baywatch - Per colpa del vento           | Baywatch - Per colpa del vento           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:39 | NOT_FOUND  | TMDB_NO_MA | Meteo 2                                  | Meteo 2                                  | P:-   B:-   L:-   M:-  
2026-09-15 08:43:39 | NOT_FOUND  | TMDB_NO_MA | Il volo dell'aquila                      | Il volo dell'aquila                      | P:-   B:-   L:-   M:-  
2026-09-15 08:43:39 | NOT_FOUND  | TMDB_NO_MA | Radio2 Social Club                       | Radio2 Social Club                       | P:-   B:-   L:-   M:-  
2026-09-15 08:43:41 | NOT_FOUND  | CACHE_NEGA | UnoMattina                               | UnoMattina                               | P:-   B:-   L:-   M:-  
2026-09-15 08:43:41 | NOT_FOUND  | CACHE_NEGA | Rai Parlamento Telegiornale              | Rai Parlamento Telegiornale              | P:-   B:-   L:-   M:-  
2026-09-15 08:43:42 | NOT_FOUND  | CACHE_NEGA | Baywatch - Per colpa del vento           | Baywatch - Per colpa del vento           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:42 | NOT_FOUND  | CACHE_NEGA | Il volo dell'aquila                      | Il volo dell'aquila                      | P:-   B:-   L:-   M:-  
2026-09-15 08:43:42 | NOT_FOUND  | CACHE_NEGA | Radio2 Social Club                       | Radio2 Social Club                       | P:-   B:-   L:-   M:-  
2026-09-15 08:43:42 | NOT_FOUND  | CACHE_NEGA | Meteo 2                                  | Meteo 2                                  | P:-   B:-   L:-   M:-  
2026-09-15 08:43:42 | NOT_FOUND  | CACHE_NEGA | Baywatch - Per colpa del vento           | Baywatch - Per colpa del vento           | P:-   B:-   L:-   M:-  
2026-09-15 08:43:44 | NOT_FOUND  | TMDB_NO_MA | TGR Buongiorno Regione                   | TGR Buongiorno Regione                   | P:-   B:-   L:-   M:-  
2026-09-15 08:43:44 | NOT_FOUND  | TMDB_NO_MA | Agorà                                    | Agorà                                    | P:-   B:-   L:-   M:-  
2026-09-15 08:43:44 | NOT_FOUND  | TMDB_NO_MA | Elisir                                   | Elisir                                   | P:-   B:-   L:-   M:-  
2026-09-15 08:43:46 | NOT_FOUND  | TMDB_NO_MA | Private Eyes II ep.15                    | Private Eyes II                          | P:-   B:-   L:-   M:-  
2026-09-15 08:43:46 | NOT_FOUND  | TMDB_NO_MA | Fast Forward VIII ep.2                   | Fast Forward VIII                        | P:-   B:-   L:-   M:-  
2026-09-15 08:43:49 | NOT_FOUND  | TMDB_NO_MA | Overland 22 Pakistan: ai piedi dei gigan | Overland 22 Pakistan: ai piedi dei gigan | P:-   B:-   L:-   M:-  
2026-09-15 08:43:49 | NOT_FOUND  | TMDB_NO_MA | Le isole scozzesi con Ben Fogle S2 Isola | Le isole scozzesi con Ben Fogle Isola    | P:-   B:-   L:-   M:-  
2026-09-15 08:43:49 | NOT_FOUND  | TMDB_NO_MA | Le meraviglie del Pianeta Ep. 1 - Territ | Le meraviglie del Pianeta                | P:-   B:-   L:-   M:-  
2026-09-15 08:43:49 | NOT_FOUND  | TMDB_NO_MA | Geo 2026-2027 1 tx Rai                   | Geo -2027 1 tx Rai                       | P:-   B:-   L:-   M:-  
